Name,Age,Squad,Country,Comp,LgRank,90s,Goals,Shots,Shots on Target,SoT%,Shots/90,SoT/90,Goals/Shot,Goals/SoT,Dist,FK,Penalty Kicks,Penalty Kicks attempted,xG,npxG,npxG/Sh,G-xG,np:G-xG
Darwin Nunez,22,Benfica,pt POR,1. Primeira Liga,3rd,22,26,85,44,51.8,3.87,2,0.26,0.5,,,4,4,,,,,
Erling Haaland,21,Dortmund,de GER,1. Bundesliga,2nd,21.2,22,74,31,41.9,3.49,1.46,0.22,0.52,13.5,0,6,6,17.6,13,0.18,4.4,3
