Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
2755,Jamie Vardy,eng ENG,FW,Leicester City,eng Premier League,34,1987,20.1,2,0,0,14,13,19,17,7,4,0,0,1,43,28,48,36.8
2756,Ruben Vargas,ch SUI,MFFW,Augsburg,de Bundesliga,22,1998,22,4,0,0,38,31,12,38,34,15,0,0,0,145,19,56,25.3
2757,Sebastian Vasiliadis,gr GRE,MF,Arminia,de Bundesliga,23,1997,13.3,3,0,0,18,7,2,6,37,25,0,0,0,149,18,17,51.4
2758,Johan Vásquez,mx MEX,DF,Genoa,it Serie A,22,1998,25.3,7,0,0,32,26,1,12,68,48,0,0,0,265,72,60,54.5
2759,Denis Vavro,sk SVK,DF,Lazio,it Serie A,25,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100
2760,José Luis García Vayá,es ESP,MF,Levante,es La Liga,22,1998,22.4,9,0,0,56,24,0,13,40,36,0,0,0,218,36,18,66.7
2761,Jesus Vazquez,es ESP,DF,Valencia,es La Liga,18,2003,9,0,0,0,13,10,0,16,15,21,0,0,0,81,19,21,47.5
2762,Kevin Vázquez,es ESP,DF,Celta Vigo,es La Liga,28,1993,14.8,3,0,0,28,23,0,36,39,24,0,1,0,134,20,30,40
2763,Lucas Vázquez,es ESP,DF,Real Madrid,es La Liga,30,1991,20.4,3,0,0,30,38,5,56,29,31,0,0,0,151,4,9,30.8
2764,Matías Vecino,uy URU,MF,Inter,it Serie A,29,1991,4.2,2,0,0,9,3,0,7,4,3,0,0,0,46,16,11,59.3
2765,Gabriel Veiga,es ESP,MF,Celta Vigo,es La Liga,19,2002,1.2,0,0,0,0,5,0,3,3,3,0,0,0,22,2,9,18.2
2766,Miguel Veloso,pt POR,MF,Hellas Verona,it Serie A,35,1986,14.9,7,1,1,18,6,0,31,20,13,0,0,0,199,33,28,54.1
2767,Joël Veltman,nl NED,DF,Brighton,eng Premier League,29,1992,31.9,6,0,0,48,38,0,30,67,40,1,1,0,318,69,42,62.2
