Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32,8,0,0,31,59,1,45,56,37,0,2,1,177,15,51,22.7
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,5,1,0,43,24,0,2,103,46,0,1,0,224,67,45,59.8
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,12,3,2,45,35,0,10,51,34,0,0,0,240,24,24,50
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,9,0,0,46,68,1,26,84,73,0,0,0,291,14,14,50
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,100
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,3,0,0,18,12,15,2,8,7,0,0,0,39,22,40,35.5
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,0,0,0,2,1,0,1,1,0,0,0,0,7,0,2,0
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,9,0,0,43,50,17,24,15,22,1,1,0,126,82,99,45.3
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,2,0,0,5,5,0,0,11,6,0,0,1,25,12,15,44.4
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,2,1,0,20,19,4,1,48,12,1,0,0,302,80,45,64
11,Ragnar Ache,de GER,MFFW,Eint Frankfurt,de Bundesliga,23,1998,2.9,0,0,0,6,8,6,6,0,2,0,0,0,15,20,11,64.5
12,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,10,0,0,41,54,0,124,31,39,0,1,0,223,33,37,47.1
14,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,0,0,0,31,47,7,11,10,9,0,0,0,120,56,111,33.5
15,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15,5,0,0,20,18,0,3,23,16,0,0,0,159,23,12,65.7
16,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,28,1993,3.7,0,0,0,6,9,4,6,3,8,0,0,0,26,5,13,27.8
17,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,17,2003,3.9,1,0,0,16,2,0,2,14,12,0,0,0,40,2,8,20
18,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,21,2000,14,3,0,0,27,32,8,26,17,25,0,0,0,92,19,35,35.2
19,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,21,2000,25.1,5,0,0,27,33,4,39,54,34,0,0,0,161,24,20,54.5
20,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,1997,4.9,1,0,0,14,4,0,2,5,8,0,0,0,33,6,8,42.9
21,Felix Afena-Gyan,gh GHA,FWMF,Roma,it Serie A,18,2003,7.4,5,1,1,15,26,4,8,5,4,0,0,0,46,9,18,33.3
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,1996,18,4,0,0,30,27,1,39,24,23,0,1,0,151,34,39,46.6
23,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,
24,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,6,0,0,35,19,0,4,56,42,0,1,0,206,31,31,50
25,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,22,1998,13.7,2,1,0,39,26,0,13,18,27,0,0,0,99,16,20,44.4
26,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,3,1,0,18,16,1,2,54,12,1,2,0,232,108,46,70.1
27,Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33,1988,1.7,0,0,0,1,2,1,4,0,1,0,0,0,3,4,2,66.7
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,4,0,0,32,30,1,52,59,51,0,0,1,236,39,40,49.4
29,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,es La Liga,21,2000,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
30,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,19,2002,0.7,0,0,0,2,1,0,0,0,0,0,0,0,3,1,3,25
31,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15,6,0,0,21,11,0,7,34,22,0,0,0,156,25,10,71.4
32,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,11.2,2,0,0,23,19,0,4,23,10,0,0,0,117,14,8,63.6
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,1,0,0,11,19,1,2,55,41,0,0,1,281,77,51,60.2
34,Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,16,4,0,0,20,31,1,30,33,15,0,0,0,126,18,23,43.9
35,Rayan Aït Nouri,fr FRA,DF,Wolves,eng Premier League,20,2001,20.3,4,0,0,20,23,3,56,38,43,1,0,0,135,20,19,51.3
36,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,22.2,5,0,0,18,19,0,12,49,22,0,0,0,186,63,38,62.4
37,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,27,1994,30.4,5,1,0,40,37,14,18,15,25,2,0,1,114,154,120,56.2
38,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,1995,25.1,3,0,0,23,26,1,2,47,36,0,0,1,240,64,39,62.1
39,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,1993,20.5,4,0,0,26,28,2,32,65,34,0,1,0,200,43,36,54.4
40,Marley Aké,fr FRA,MFFW,Juventus,it Serie A,20,2001,0.9,1,0,0,8,2,0,1,2,0,0,0,0,4,1,0,100
41,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,1995,10.3,0,0,0,8,5,0,0,18,5,0,0,0,78,41,8,83.7
42,Ilias Akhomach,es ESP,FW,Barcelona,es La Liga,17,2004,1.4,0,0,0,4,5,0,5,0,0,0,0,0,10,0,2,0
43,Maghnes Akliouche,fr FRA,MFFW,Monaco,fr Ligue 1,19,2002,0.6,1,0,0,3,1,1,0,0,1,0,0,0,4,1,2,33.3
44,Paul Akouokou,ci CIV,MF,Betis,es La Liga,23,1997,5.7,2,1,0,14,3,0,0,12,12,0,0,0,55,9,1,90
45,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,28,1992,3.5,1,0,0,14,10,0,0,3,9,0,1,0,24,7,7,50
46,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,26,1995,17,5,0,0,30,24,4,29,35,20,0,1,0,144,23,22,51.1
47,David Alaba,at AUT,DF,Real Madrid,es La Liga,29,1992,29.4,2,0,0,18,13,2,32,41,18,0,0,0,189,23,23,50
48,Sofiane Alakouch,ma MAR,DFMF,Metz,fr Ligue 1,23,1998,1.8,1,0,0,5,8,0,1,6,6,0,0,0,16,1,1,50
49,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,22,1999,15.8,5,0,0,26,10,1,23,27,15,0,2,0,161,22,22,50
50,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,28,1992,7.3,2,0,0,8,11,7,3,3,4,1,0,0,25,20,35,36.4
51,Jordi Alba,es ESP,DF,Barcelona,es La Liga,32,1989,29.4,11,0,0,28,25,11,104,48,25,0,0,0,271,18,30,37.5
52,Josué Albert,gf GUF,DF,Clermont Foot,fr Ligue 1,29,1992,0.2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,
53,Luis Alberto,es ESP,MF,Lazio,it Serie A,28,1992,26.1,5,0,0,17,28,1,50,22,18,0,0,0,186,11,15,42.3
54,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,35,1985,27.4,8,0,0,20,13,2,0,37,15,0,0,0,244,53,28,65.4
55,Marc Albrighton,eng ENG,FWDF,Leicester City,eng Premier League,31,1989,12.6,3,0,0,8,15,2,31,25,16,0,0,0,77,6,11,35.3
56,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,27,1993,8.7,1,0,0,7,7,8,2,4,3,0,0,0,28,15,25,37.5
57,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,30,1991,17,2,0,0,25,26,0,2,35,40,0,0,0,217,37,16,69.8
58,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,30,1991,12.3,7,0,0,36,40,1,12,15,30,0,1,0,148,29,22,56.9
59,Omar Alderete,py PAR,DF,Valencia,es La Liga,24,1996,26.7,15,0,0,49,7,0,2,70,45,0,2,0,284,95,41,69.9
60,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,26,1995,11.8,7,0,0,38,39,5,77,16,20,0,1,0,89,14,14,50
61,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12,1,0,0,0,0,0,0,0,0,0,0,0,62,0,0,
62,Carles Aleñá,es ESP,MF,Getafe,es La Liga,23,1998,25.8,6,1,0,57,43,1,22,19,22,0,0,0,159,14,30,31.8
63,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22,1998,31.7,2,0,0,16,9,11,127,76,24,0,0,0,319,18,22,45
64,Mircea Alexandru Tirlea,ro ROU,DF,Alavés,es La Liga,21,2000,0.2,0,0,0,0,0,0,1,1,0,0,0,0,4,1,1,50
65,Mohamed Ali Cho,fr FRA,FW,Angers,fr Ligue 1,17,2004,20.4,6,2,2,31,47,11,29,13,7,0,0,0,83,15,71,17.4
66,Alisson,br BRA,GK,Liverpool,eng Premier League,28,1992,36,0,0,0,0,5,0,0,0,0,0,0,1,224,0,0,
67,Allan,br BRA,MF,Everton,eng Premier League,30,1991,24.3,7,1,0,39,28,0,6,42,61,1,0,0,272,12,13,48
68,Jim Allevinah,ga GAB,FW,Clermont Foot,fr Ligue 1,26,1995,16.5,1,0,0,18,39,2,31,10,15,0,1,0,87,17,24,41.5
69,Dele Alli,eng ENG,MF,Everton,eng Premier League,25,1996,3.8,3,0,0,11,7,2,4,10,10,0,0,0,39,8,11,42.1
70,Dele Alli,eng ENG,MFFW,Tottenham,eng Premier League,25,1996,7.3,1,0,0,13,15,2,3,17,7,1,0,0,46,11,13,45.8
71,Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,27,1994,19.1,2,0,0,20,27,9,22,25,33,0,0,0,122,5,18,21.7
72,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,30,1990,24.1,8,0,0,33,34,3,64,66,28,0,1,0,216,59,26,69.4
73,Giorgio Altare,it ITA,DF,Cagliari,it Serie A,22,1998,16.3,5,0,0,41,16,1,15,44,28,0,1,0,211,45,38,54.2
74,Hugo Álvarez,es ESP,FW,Celta Vigo,es La Liga,18,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
75,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,26,1995,20.7,6,0,0,25,16,1,2,54,19,0,0,0,253,70,46,60.3
76,Dani Alves,br BRA,DF,Barcelona,es La Liga,38,1983,12.2,2,1,0,30,12,0,37,23,19,0,1,0,111,8,9,47.1
77,Steven Alzate,co COL,MF,Brighton,eng Premier League,22,1998,4.5,0,0,0,6,8,0,2,14,8,0,0,0,61,7,12,36.8
78,Ibrahim Amadou,fr FRA,DFMF,Metz,fr Ligue 1,28,1993,9,4,0,0,13,4,0,0,20,10,0,0,0,62,10,13,43.5
79,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,19,2001,0.9,0,0,0,2,1,0,1,0,0,0,0,0,9,2,1,66.7
80,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,26,1994,23.6,4,0,0,17,9,1,0,30,12,0,0,0,211,45,38,54.2
81,Amath,sn SEN,FWMF,Mallorca,es La Liga,25,1996,9.8,5,0,0,20,21,6,7,11,13,0,0,0,47,3,17,15
82,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,27,1994,1.4,0,0,0,3,1,0,2,1,3,0,0,0,4,3,2,60
83,Jordan Amavi,fr FRA,DF,Nice,fr Ligue 1,27,1994,4.6,1,0,0,2,3,0,7,13,5,0,0,0,47,10,9,52.6
84,Wisdom Amey,it ITA,DF,Bologna,it Serie A,15,2005,0.8,0,0,0,1,2,0,0,2,0,0,0,0,8,3,1,75
85,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,23,1998,29.4,9,2,1,39,16,1,16,48,39,0,0,0,148,43,39,52.4
86,Nadiem Amiri,de GER,MFFW,Genoa,it Serie A,24,1996,7.6,0,0,0,7,23,1,8,5,7,0,0,0,53,5,14,26.3
87,Nadiem Amiri,de GER,MFFW,Leverkusen,de Bundesliga,24,1996,4.1,0,0,0,1,13,0,3,5,4,0,0,0,37,1,4,20
88,Ethan Ampadu,wls WAL,MFDF,Venezia,it Serie A,20,2000,25.4,13,2,1,54,32,0,19,55,43,0,0,0,265,68,38,64.2
89,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,24,1996,10.5,6,0,0,29,15,0,3,10,22,0,0,0,114,10,17,37
90,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,25,1996,32.4,4,0,0,19,8,1,14,60,23,0,0,1,287,84,43,66.1
91,Felipe Anderson,br BRA,FW,Lazio,it Serie A,28,1993,32.1,2,0,0,44,40,7,71,37,50,0,0,0,191,18,29,38.3
92,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,30,1991,14,3,0,0,27,17,6,15,3,9,0,0,0,43,52,84,38.2
93,Florin Andone,ro ROU,FW,Cádiz,es La Liga,28,1993,2,1,0,0,5,1,3,0,1,0,0,0,0,8,7,14,33.3
94,Andrés Andrade Cedeño,pa PAN,DF,Arminia,de Bundesliga,22,1998,11.6,4,0,0,14,2,1,11,26,20,0,1,0,130,31,27,53.4
95,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,30,1990,30.6,12,1,1,75,65,2,17,76,78,0,2,0,353,118,81,59.3
96,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,de Bundesliga,22,1998,3.9,1,0,0,3,3,0,4,6,7,0,0,0,36,1,7,12.5
97,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,26,1994,20.2,5,1,0,42,17,2,5,46,33,0,0,0,228,42,22,65.6
98,José Ángel,es ESP,DF,Osasuna,es La Liga,31,1989,12,2,1,0,9,7,0,32,18,24,0,0,0,127,16,5,76.2
99,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,24,1997,25.5,3,0,0,17,40,4,128,35,18,0,0,0,202,21,23,47.7
100,Ebenezer Annan,gh GHA,DF,Bologna,it Serie A,18,2002,0.3,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,
101,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,34,1986,7.7,2,0,0,13,7,2,35,5,9,0,0,0,60,5,5,50
102,Janis Antiste,fr FRA,FW,Spezia,it Serie A,18,2002,8.8,0,0,0,16,6,5,10,8,11,0,0,0,40,19,21,47.5
103,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,25,1996,28.8,6,1,0,31,19,1,12,66,33,0,0,0,290,88,64,57.9
104,Josep Antoni Gayá,es ESP,DF,Mallorca,es La Liga,21,2000,0.6,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,
105,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,31,1990,33,8,1,1,51,63,13,54,14,23,0,0,0,138,81,145,35.8
106,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,de Bundesliga,27,1994,12.6,2,0,0,16,29,11,28,7,19,1,0,0,70,15,56,21.1
107,Houssem Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,23,1998,27.8,1,0,0,30,48,3,14,38,33,0,0,0,206,11,25,30.6
108,Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19,2002,12,2,0,0,13,16,2,24,21,13,0,0,0,96,14,24,36.8
109,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,29,1992,23.3,4,0,0,40,4,2,27,47,36,0,1,1,166,36,44,45
110,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,25,1995,29.6,13,0,0,70,52,0,25,47,37,0,1,0,284,31,36,46.3
111,Mattia Aramu,it ITA,MFFW,Venezia,it Serie A,26,1995,23.3,6,0,0,31,88,7,60,14,11,1,1,0,121,16,40,28.6
112,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,32,1989,17.5,2,0,0,30,18,0,8,42,33,0,0,0,196,13,26,33.3
113,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,29,1991,29.1,4,0,0,20,10,0,3,53,17,0,0,1,283,70,54,56.5
114,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,22,1999,25.2,6,0,0,24,13,1,5,37,33,0,0,0,209,72,26,73.5
115,Cameron Archer,eng ENG,MFFW,Aston Villa,eng Premier League,19,2001,0.3,0,0,0,3,0,0,0,1,0,0,0,0,2,1,2,33.3
116,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,28,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
117,Jesús Areso,es ESP,DF,Osasuna,es La Liga,22,1999,2.1,1,0,0,5,4,0,2,1,3,0,0,0,15,3,4,42.9
118,Matias Arezo,uy URU,FW,Granada,es La Liga,18,2002,1.8,1,0,0,3,1,0,3,1,2,0,0,0,13,8,6,57.1
119,Santiago Arias,co COL,DF,Granada,es La Liga,29,1992,4.9,1,0,0,6,6,2,13,4,6,0,0,0,54,8,16,33.3
120,Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,24,1997,15.7,1,0,0,15,9,2,22,9,7,1,0,0,57,14,38,26.9
121,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,29,1992,16.4,1,0,0,11,24,1,32,14,15,1,0,0,147,5,22,18.5
122,Marko Arnautović,at AUT,FW,Bologna,it Serie A,32,1989,29.9,6,0,0,50,27,14,20,15,15,0,0,0,115,49,53,48
123,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,27,1994,33.3,4,0,0,57,64,1,46,68,34,0,1,0,356,33,26,55.9
124,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26,1994,4,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,
125,Tolgay Arslan,de GER,MF,Udinese,it Serie A,30,1990,18.4,9,0,0,32,42,0,25,32,23,1,0,0,186,8,12,40
126,Arthur,br BRA,FW,Fiorentina,it Serie A,23,1998,8.3,1,0,0,18,12,1,2,3,6,0,0,0,16,18,29,38.3
127,Santiago Arzamendia,py PAR,MFDF,Cádiz,es La Liga,23,1998,5.2,2,0,0,8,8,1,13,8,12,0,0,0,44,19,15,55.9
128,Takuma Asano,jp JPN,FWMF,Bochum,de Bundesliga,26,1994,17.9,1,0,0,16,30,18,25,17,11,0,0,0,104,20,53,27.4
129,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,24,1997,26.4,5,0,0,45,40,3,3,54,61,0,0,0,312,37,48,43.5
130,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,32,1989,6,1,0,0,0,0,0,0,0,0,0,0,0,33,0,0,
131,Alejandro Asensio,es ESP,FW,Rayo Vallecano,es La Liga,20,2000,0.1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,100
132,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,25,1996,19.2,2,0,0,12,26,2,43,25,10,0,0,0,102,1,9,10
133,Harrison Ashby,sct SCO,DF,West Ham,eng Premier League,19,2001,0.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
134,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,20,2001,8.4,5,0,0,20,14,0,1,18,10,0,0,1,72,23,17,57.5
135,Fisnik Asllani,xk KVX,MFFW,Hoffenheim,de Bundesliga,18,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
136,Kristjan Asllani,al ALB,MF,Empoli,it Serie A,19,2002,15,2,0,0,12,24,0,13,34,14,0,0,0,126,5,15,25
137,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,33,1987,34.3,9,0,0,26,64,20,86,21,7,0,1,0,193,35,62,36.1
138,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,21,2000,6.8,0,0,0,13,14,2,15,14,10,0,0,0,63,10,6,62.5
139,Simon Asta,de GER,DF,Greuther Fürth,de Bundesliga,20,2001,8.7,1,0,0,13,9,2,16,26,8,0,0,1,81,6,9,40
140,Youcef Atal,dz ALG,DF,Nice,fr Ligue 1,25,1996,12.7,4,0,0,18,24,3,48,40,21,1,1,0,118,28,13,68.3
141,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,32,1989,11.5,3,0,0,18,12,10,9,1,7,0,0,0,38,28,32,46.7
142,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,32,1989,12,0,0,0,7,7,7,9,5,2,0,0,0,31,9,16,36
143,Emil Audero,it ITA,GK,Sampdoria,it Serie A,24,1997,28.4,2,0,0,0,7,0,0,0,0,0,0,0,110,0,0,
144,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,26,1994,26.6,0,0,0,15,22,1,61,46,24,0,0,0,221,41,25,62.1
145,Jean-Kévin Augustin,fr FRA,FWMF,Nantes,fr Ligue 1,24,1997,0.9,1,0,0,3,1,0,0,0,0,0,0,0,1,2,2,50
146,Ludwig Augustinsson,se SWE,DF,Sevilla,es La Liga,27,1994,8.8,3,0,0,16,11,0,21,9,13,0,0,0,62,18,10,64.3
147,Serge Aurier,ci CIV,DF,Villarreal,es La Liga,28,1992,11.2,4,0,0,16,6,1,22,23,14,0,1,0,113,25,14,64.1
148,Ezequiel Ávila,ar ARG,FWMF,Osasuna,es La Liga,27,1994,20.8,9,1,1,37,39,13,58,24,9,0,1,0,114,52,84,38.2
149,Taiwo Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,23,1997,24.2,1,0,0,29,26,21,9,6,9,1,0,1,109,58,145,28.6
150,Ramzi Aya,it ITA,DF,Salernitana,it Serie A,30,1990,1.5,1,0,0,1,0,0,1,2,1,0,0,0,7,1,1,50
151,Jordan Ayew,gh GHA,FW,Crystal Palace,eng Premier League,29,1991,22.4,2,0,0,42,70,1,50,28,34,1,0,0,156,31,62,33.3
152,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,26,1994,15,2,1,0,13,5,1,1,24,9,0,1,0,123,34,32,51.5
153,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,29,1991,25.2,4,1,0,28,24,2,25,54,45,0,1,0,263,49,51,49
154,Karim Azamoum,fr FRA,DF,Troyes,fr Ligue 1,31,1990,4.3,2,0,0,12,3,0,0,2,6,0,0,0,21,8,6,57.1
155,Sardar Azmoun,ir IRN,FWMF,Leverkusen,de Bundesliga,26,1995,4,0,0,0,8,5,0,0,2,1,0,0,0,21,11,7,61.1
156,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,31,1989,23,3,0,0,29,8,2,37,37,31,0,1,0,169,52,34,60.5
157,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,25,1996,21.5,9,0,0,50,46,0,6,36,51,0,0,0,280,55,36,60.4
158,Carlos Bacca,co COL,FW,Granada,es La Liga,34,1986,5.7,3,0,0,3,9,5,3,1,3,1,0,0,16,12,19,38.7
159,Daniel Bachmann,at AUT,GK,Watford,eng Premier League,27,1994,12,0,0,0,1,2,0,0,0,0,0,1,0,57,0,0,
160,Loïc Bade,fr FRA,DF,Rennes,fr Ligue 1,21,2000,10.9,3,1,1,7,2,0,2,21,3,0,0,0,85,32,16,66.7
161,Milan Badelj,hr CRO,MF,Genoa,it Serie A,32,1989,31.6,4,0,0,48,26,0,10,119,44,1,0,0,397,42,42,50
162,Édgar Badía,es ESP,GK,Elche,es La Liga,29,1992,24,2,0,0,0,1,0,0,1,0,0,0,0,138,0,0,
163,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,20,2001,20.4,4,0,0,27,11,2,1,57,28,0,1,0,239,72,20,78.3
164,Youssouph Badji,sn SEN,FW,Brest,fr Ligue 1,19,2001,1.5,0,0,0,3,0,1,1,0,0,0,0,0,5,7,8,46.7
165,Miguel Baeza,es ESP,DF,Celta Vigo,es La Liga,21,2000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
166,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,17,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
167,Issa Bah,lu LUX,FW,Venezia,it Serie A,19,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,100
168,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,29,1992,12.2,0,0,0,27,16,4,8,6,8,0,0,0,40,22,47,31.9
169,Leon Bailey,jm JAM,FWMF,Aston Villa,eng Premier League,23,1997,8.5,3,0,0,13,12,3,21,3,12,0,0,0,43,9,16,36
170,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,27,1994,2.4,1,0,0,2,0,0,0,8,3,0,0,1,23,5,2,71.4
171,Dénys Bain,fr FRA,DF,Brest,fr Ligue 1,28,1993,2,0,0,0,5,3,0,0,4,4,0,0,0,9,4,1,80
172,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19,2001,5.7,0,0,0,0,1,0,0,0,0,0,0,0,45,0,0,
173,Nedim Bajrami,al ALB,MFFW,Empoli,it Serie A,22,1999,22.8,3,0,0,19,18,7,66,8,28,0,0,0,120,2,23,8
174,Cédric Bakambu,cd COD,FW,Marseille,fr Ligue 1,30,1991,4,1,0,0,7,2,5,4,1,2,0,0,0,13,8,15,34.8
175,Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,2002,3.4,0,0,0,7,5,0,0,14,10,0,0,0,34,3,3,50
176,Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,26,1994,5.6,3,0,0,14,11,0,1,11,13,0,1,0,69,17,7,70.8
177,Mitchel Bakker,nl NED,DF,Leverkusen,de Bundesliga,21,2000,20.2,6,0,0,16,23,0,38,52,25,0,1,0,159,19,16,54.3
178,Ridle Baku,de GER,DFFW,Wolfsburg,de Bundesliga,23,1998,27.2,4,0,0,34,38,10,68,40,34,0,0,0,222,30,38,44.1
179,Dilane Bakwa,fr FRA,FWDF,Bordeaux,fr Ligue 1,18,2002,0.5,0,0,0,2,1,0,0,0,0,0,0,0,8,3,1,75
180,Tommaso Baldanzi,it ITA,FW,Empoli,it Serie A,18,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
181,Alejandro Balde,es ESP,DFFW,Barcelona,es La Liga,17,2003,2.1,0,0,0,5,4,0,3,2,2,0,0,0,15,1,2,33.3
182,Ibrahima Baldé,fr FRA,FWMF,Lens,fr Ligue 1,18,2003,0.6,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,66.7
183,Keita Baldé,sn SEN,FWMF,Cagliari,it Serie A,26,1995,13.7,2,0,0,30,33,9,8,6,3,1,1,0,49,26,65,28.6
184,Gareth Bale,wls WAL,FW,Real Madrid,es La Liga,32,1989,3.1,2,0,0,3,1,1,2,5,1,0,0,0,10,7,5,58.3
